Task,Start,End,Execution_Time_ms,Deadline_ms,Deviation_ms,Violation
Brake_Pedal_Read,0.0,6.308,6.308,5,1.3079999999999998,True
ABS_Control,7.627,21.594,13.967000000000002,10,3.9670000000000023,True
Brake_Output,22.212,28.439,6.227,5,1.2270000000000003,True
Brake_Pedal_Read,30.43,35.647,5.216999999999999,5,0.21699999999999875,True
ABS_Control,36.932,49.836,12.903999999999996,10,2.9039999999999964,True
Brake_Output,50.425,54.473,4.048000000000002,5,-0.9519999999999982,False
Brake_Pedal_Read,54.976,59.53,4.554000000000002,5,-0.44599999999999795,False
ABS_Control,61.288,73.425,12.137,10,2.1370000000000005,True
Brake_Output,74.137,78.927,4.790000000000006,5,-0.20999999999999375,False
Brake_Pedal_Read,79.592,85.985,6.393000000000001,5,1.3930000000000007,True
ABS_Control,87.76,97.806,10.045999999999992,10,0.04599999999999227,True
Brake_Output,99.174,105.759,6.584999999999994,5,1.5849999999999937,True
Brake_Pedal_Read,107.483,113.459,5.975999999999999,5,0.9759999999999991,True
ABS_Control,115.111,125.64,10.528999999999996,10,0.5289999999999964,True
Brake_Output,127.049,133.335,6.286000000000001,5,1.2860000000000014,True
Brake_Pedal_Read,135.22,140.872,5.652000000000015,5,0.6520000000000152,True
ABS_Control,141.727,153.87,12.143,10,2.1430000000000007,True
Brake_Output,155.064,160.66,5.596000000000004,5,0.5960000000000036,True
Brake_Pedal_Read,162.626,168.519,5.893000000000001,5,0.8930000000000007,True
ABS_Control,169.335,180.066,10.730999999999995,10,0.7309999999999945,True
Brake_Output,181.414,188.372,6.958000000000027,5,1.9580000000000268,True
Brake_Pedal_Read,189.504,194.038,4.53400000000002,5,-0.46599999999997976,False
ABS_Control,195.45,204.847,9.39700000000002,10,-0.6029999999999802,False
Brake_Output,206.183,211.758,5.575000000000017,5,0.575000000000017,True
Brake_Pedal_Read,212.507,219.142,6.634999999999991,5,1.634999999999991,True
ABS_Control,220.828,231.682,10.853999999999985,10,0.853999999999985,True
Brake_Output,233.6,237.867,4.266999999999996,5,-0.7330000000000041,False
Brake_Pedal_Read,239.056,243.868,4.811999999999983,5,-0.1880000000000166,False
ABS_Control,245.574,258.201,12.62700000000001,10,2.6270000000000095,True
Brake_Output,259.394,264.155,4.760999999999967,5,-0.23900000000003274,False
Brake_Pedal_Read,264.805,269.872,5.067000000000007,5,0.06700000000000728,True
ABS_Control,271.128,283.928,12.800000000000011,10,2.8000000000000114,True
Brake_Output,284.437,289.765,5.3279999999999745,5,0.32799999999997453,True
Brake_Pedal_Read,290.426,296.46,6.033999999999992,5,1.0339999999999918,True
ABS_Control,297.853,310.378,12.524999999999977,10,2.5249999999999773,True
Brake_Output,311.505,316.12,4.615000000000009,5,-0.3849999999999909,False
Brake_Pedal_Read,317.91,323.9,5.989999999999952,5,0.9899999999999523,True
ABS_Control,325.109,336.677,11.56800000000004,10,1.5680000000000405,True
Brake_Output,337.495,342.673,5.177999999999997,5,0.17799999999999727,True
Brake_Pedal_Read,343.383,347.498,4.115000000000009,5,-0.8849999999999909,False
ABS_Control,348.081,358.528,10.447000000000003,10,0.44700000000000273,True
Brake_Output,359.793,365.92,6.1270000000000095,5,1.1270000000000095,True
